V1 V2
252 PTGER3 PTGES
253 PTGER3 PTGFR
254 PTGER3 PTGIR
255 PTGER3 PTGIS
256 PTGER3 PTGS1
257 PTGER3 TBXA2R
258 PTGER3 TBXAS1
259 PTGER4 PTGES
260 PTGER4 PTGFR
261 PTGER4 PTGIR
262 PTGER4 PTGIS
263 PTGER4 PTGS1
264 PTGER4 TBXA2R
265 PTGER4 TBXAS1
266 PTGES PTGFR
267 PTGES PTGIR
268 PTGES PTGIS
269 PTGES PTGS1
270 PTGES TBXA2R
271 PTGES TBXAS1
272 PTGFR PTGIR
273 PTGFR PTGIS
274 PTGFR PTGS1
275 PTGFR TBXA2R
276 PTGFR TBXAS1
277 PTGIR PTGIS
278 PTGIR PTGS1
279 PTGIR TBXA2R
280 PTGIR TBXAS1
281 PTGIS PTGS1
282 PTGIS TBXA2R
283 PTGIS TBXAS1
284 PTGS1 TBXA2R
285 PTGS1 TBXAS1
286 TBXA2R TBXAS1
287 CYP1A2 CYP2E1
288 PTGS1 CYP1A2
289 PTGS1 CYP2E1
290 ALPL COL4A1
291 ALPL COL4A3
292 ALPL COL4A4
293 ALPL COL4A6
294 ALPL SPP1
295 COL4A1 COL4A3
296 COL4A1 COL4A4
297 COL4A1 COL4A6
298 COL4A1 SPP1
299 COL4A3 COL4A4
300 COL4A3 COL4A6
301 COL4A3 SPP1
302 COL4A4 COL4A6
303 COL4A4 SPP1
304 COL4A6 SPP1
305 COL4A1 F11
306 COL4A1 F2
307 COL4A1 PLAT
308 COL4A1 PLAU
309 COL4A1 PLG
310 COL4A1 SERPINE1
311 COL4A3 F11
312 COL4A3 F2
313 COL4A3 PLAT
314 COL4A3 PLAU
315 COL4A3 PLG
316 COL4A3 SERPINE1
317 COL4A4 F11
318 COL4A4 F2
319 COL4A4 PLAT
320 COL4A4 PLAU
321 COL4A4 PLG
322 COL4A4 SERPINE1
323 COL4A6 F11
324 COL4A6 F2
325 COL4A6 PLAT
326 COL4A6 PLAU
327 COL4A6 PLG
328 COL4A6 SERPINE1
329 F11 F2
330 F11 PLAT
331 F11 PLAU
332 F11 PLG
333 F11 SERPINE1
334 F2 PLAT
335 F2 PLAU
336 F2 PLG
337 F2 SERPINE1
338 PLAT PLAU
339 PLAT PLG
340 PLAT SERPINE1
341 PLAU PLG
342 PLAU SERPINE1
343 PLG SERPINE1
344 COL4A1 F10
345 COL4A1 F2R
346 COL4A1 F5
347 COL4A1 FGA
348 COL4A1 FGB
349 COL4A1 FGG
350 COL4A1 KLKB1
351 COL4A1 KNG1
352 COL4A3 F10
353 COL4A3 F2R
354 COL4A3 F5
355 COL4A3 FGA
356 COL4A3 FGB
357 COL4A3 FGG
358 COL4A3 KLKB1
359 COL4A3 KNG1
360 COL4A4 F10
361 COL4A4 F2R
362 COL4A4 F5
363 COL4A4 FGA
364 COL4A4 FGB
365 COL4A4 FGG
366 COL4A4 KLKB1
367 COL4A4 KNG1
368 COL4A6 F10
369 COL4A6 F2R
370 COL4A6 F5
371 COL4A6 FGA
372 COL4A6 FGB
373 COL4A6 FGG
374 COL4A6 KLKB1
375 COL4A6 KNG1
376 F11 F10
377 F2 F10
378 F10 F2R
379 F10 F5
380 F10 FGA
381 F10 FGB
382 F10 FGG
383 F10 KLKB1
384 F10 KNG1
385 F11 F2R
386 F11 F5
387 F11 FGA
388 F11 FGB
389 F11 FGG
390 F11 KLKB1
391 F11 KNG1
392 F2 F2R
393 F2 F5
394 F2 FGA
395 F2 FGB
396 F2 FGG
397 F2 KLKB1
398 F2 KNG1
399 F2R F5
400 F2R FGA
401 F2R FGB
402 F2R FGG
403 F2R KLKB1
404 F2R KNG1
405 F5 FGA
406 F5 FGB
407 F5 FGG
408 F5 KLKB1
409 F5 KNG1
410 FGA FGB
411 FGA FGG
412 FGA KLKB1
413 FGA KNG1
414 FGB FGG
415 FGB KLKB1
416 FGB KNG1
417 FGG KLKB1
418 FGG KNG1
419 KLKB1 KNG1
420 F10 F3
421 F10 F7
422 F2 F3
423 F2 F7
424 F2R F3
425 F2R F7
426 F5 F3
427 F3 F7
428 FGA F3
429 FGB F3
430 FGG F3
431 F5 F7
432 FGA F7
433 FGB F7
434 FGG F7
435 CPB2 F13A1
436 F2 CPB2
437 F2R CPB2
438 FGA CPB2
439 FGB CPB2
440 FGG CPB2
441 PLAT CPB2
442 PLAU CPB2
443 PLG CPB2
444 CPB2 SERPINB2
445 CPB2 SERPINE1
446 F2 F13A1
447 F2R F13A1
448 FGA F13A1
449 FGB F13A1
450 FGG F13A1
451 PLAT F13A1
452 PLAU F13A1
453 PLG F13A1
454 F13A1 SERPINB2
455 F13A1 SERPINE1
456 F2 SERPINB2
457 PLAT F2R
458 PLAU F2R
459 PLG F2R
460 F2R SERPINB2
461 F2R SERPINE1
462 PLAT FGA
463 PLAU FGA
464 PLG FGA
465 FGA SERPINB2
466 FGA SERPINE1
467 PLAT FGB
468 PLAU FGB
469 PLG FGB
470 FGB SERPINB2
471 FGB SERPINE1
472 PLAT FGG
473 PLAU FGG
474 PLG FGG
475 FGG SERPINB2
476 FGG SERPINE1
477 PLAT SERPINB2
478 PLAU SERPINB2
479 PLG SERPINB2
480 SERPINB2 SERPINE1
481 GNGT2 RCVRN
482 GNGT2 SLC25A18
483 RCVRN SLC25A18
484 IL22RA1 SOCS3
485 CNTN2 HSPA1A
486 IFNG CNTN2
487 CNTN2 NFKBIA
488 CNTN2 USH1C
489 IFNG HSPA1A
490 HSPA1A NFKBIA
491 HSPA1A USH1C
492 IFNG NFKBIA
493 IFNG USH1C
494 NFKBIA USH1C
495 IFNG IL12A
496 IFNG IL12RB1
497 IFNG IL12RB2
498 IFNG NOS2
499 IFNG STAT4
500 IL12A IL12RB1
501 IL12A IL12RB2
502 IL12A NOS2
503 IL12A STAT4
504 IL12RB1 IL12RB2
505 IL12RB1 NOS2
506 IL12RB1 STAT4
507 IL12RB2 NOS2
508 IL12RB2 STAT4
509 NOS2 STAT4
510 CCR5 ETV5
511 IFNG CCR5
512 IL12A CCR5
513 IL12RB1 CCR5
514 IL12RB2 CCR5
515 CCR5 IL18R1
516 CCR5 JUN
517 CCR5 MAP2K6
518 STAT4 CCR5
519 IFNG ETV5
520 IL12A ETV5
521 IL12RB1 ETV5
522 IL12RB2 ETV5
523 ETV5 IL18R1
524 ETV5 JUN
525 ETV5 MAP2K6
526 STAT4 ETV5
527 IFNG IL18R1
528 IFNG JUN
529 IFNG MAP2K6
530 IL12A IL18R1
531 IL12A JUN
532 IL12A MAP2K6
533 IL12RB1 IL18R1
534 IL12RB1 JUN
535 IL12RB1 MAP2K6
536 IL12RB2 IL18R1
537 IL12RB2 JUN
538 IL12RB2 MAP2K6
539 IL18R1 JUN
540 IL18R1 MAP2K6
541 STAT4 IL18R1
542 JUN MAP2K6
543 STAT4 JUN
544 STAT4 MAP2K6
545 IFNG TNFRSF9
546 IFNG TNFSF9
547 JUN TNFRSF9
548 JUN TNFSF9
549 MAP2K6 TNFRSF9
550 MAP2K6 TNFSF9
551 TNFRSF9 TNFSF9
552 HMOX1 IL10
553 HMOX1 IL6
554 MAP2K6 HMOX1
555 HMOX1 TNF
556 IL10 IL6
557 MAP2K6 IL10
558 IL10 TNF
559 MAP2K6 IL6
560 IL6 TNF
