x
ENSG00000129824.15
ENSG00000012817.15
ENSG00000067048.16
ENSG00000183878.15
ENSG00000198692.9
ENSG00000275896.5
ENSG00000204983.12
ENSG00000175535.6
ENSG00000114374.12
ENSG00000142789.19
ENSG00000169347.16
ENSG00000115386.5
ENSG00000067646.11
ENSG00000182333.14
ENSG00000096088.16
ENSG00000168925.10
ENSG00000171195.10
ENSG00000091704.9
ENSG00000137392.9
ENSG00000168928.12
ENSG00000163209.14
ENSG00000259384.6
ENSG00000172179.11
ENSG00000171560.14
ENSG00000229859.9
ENSG00000219073.7
ENSG00000229183.8
ENSG00000172023.7
ENSG00000171557.16
ENSG00000160882.11
ENSG00000173432.10
ENSG00000134339.8
ENSG00000256713.7
ENSG00000185303.15
ENSG00000206047.2
ENSG00000239839.6
ENSG00000122852.14
ENSG00000153002.11
ENSG00000240247.7
ENSG00000255071.3
ENSG00000171564.11
ENSG00000170477.12
ENSG00000163631.16
ENSG00000143536.7
ENSG00000142615.7
ENSG00000256618.2
ENSG00000171401.14
ENSG00000158516.11
ENSG00000170890.13
ENSG00000168878.16
ENSG00000122304.10
ENSG00000187021.14
ENSG00000175497.16
ENSG00000125740.13
ENSG00000204936.9
ENSG00000125414.18
ENSG00000109061.9
ENSG00000133048.12
ENSG00000169245.5
ENSG00000254709.7
ENSG00000140519.12
ENSG00000132693.12
ENSG00000118785.13
ENSG00000266302.6
ENSG00000169429.10
ENSG00000123689.5
ENSG00000092054.12
ENSG00000131095.11
ENSG00000119547.5
ENSG00000168484.12
ENSG00000111245.14
ENSG00000108342.12
ENSG00000158578.18
ENSG00000257017.8
ENSG00000073756.11
ENSG00000110245.11
ENSG00000188257.10
ENSG00000137869.14
ENSG00000179593.15
ENSG00000120738.7
ENSG00000177575.12
ENSG00000143632.14
ENSG00000172016.15
ENSG00000119508.17
ENSG00000174697.4
ENSG00000100448.3
ENSG00000118113.11
ENSG00000138755.5
ENSG00000205420.10
ENSG00000132465.10
ENSG00000134240.11
ENSG00000148677.6
ENSG00000172867.3
ENSG00000164266.10
ENSG00000109321.10
ENSG00000163221.8
ENSG00000140287.10
ENSG00000131203.12
ENSG00000163661.3
ENSG00000181092.9
ENSG00000229314.5
ENSG00000155659.14
ENSG00000169605.5
ENSG00000106366.8
ENSG00000129988.5
ENSG00000175646.3
ENSG00000237541.3
ENSG00000120802.13
ENSG00000108691.9
ENSG00000197616.11
ENSG00000168530.15
ENSG00000133063.15
ENSG00000162078.11
ENSG00000223609.7
ENSG00000101323.4
ENSG00000096060.14
ENSG00000179388.8
ENSG00000166800.9
ENSG00000115590.13
ENSG00000136244.11
ENSG00000088882.7
ENSG00000135094.10
ENSG00000279346.1
ENSG00000140465.13
ENSG00000179751.6
ENSG00000157765.11
ENSG00000091583.10
ENSG00000095917.13
ENSG00000115602.16
ENSG00000168314.17
ENSG00000162772.16
ENSG00000170835.13
ENSG00000086967.9
ENSG00000196436.8
ENSG00000215182.8
ENSG00000205362.11
ENSG00000204544.5
ENSG00000277632.1
ENSG00000145920.14
ENSG00000143546.9
ENSG00000133742.13
ENSG00000148346.11
ENSG00000019169.10
ENSG00000172602.9
ENSG00000179914.4
ENSG00000106631.8
ENSG00000261701.6
ENSG00000138207.13
ENSG00000179639.10
ENSG00000205364.3
ENSG00000213934.6
ENSG00000100985.7
ENSG00000163092.19
ENSG00000170345.9
ENSG00000132464.11
ENSG00000104760.16
ENSG00000125144.13
ENSG00000215704.9
ENSG00000135346.8
ENSG00000168334.8
ENSG00000196136.16
ENSG00000159251.6
ENSG00000273259.2
ENSG00000129170.8
ENSG00000142515.14
ENSG00000123610.4
ENSG00000196415.9
ENSG00000196565.12
ENSG00000081041.8
ENSG00000124253.10
ENSG00000170290.3
ENSG00000122877.14
ENSG00000104435.13
ENSG00000279824.1
ENSG00000041982.15
ENSG00000159713.10
ENSG00000167768.4
ENSG00000125780.11
ENSG00000105048.16
ENSG00000123560.13
ENSG00000118432.12
ENSG00000158050.4
ENSG00000161634.11
ENSG00000153234.13
ENSG00000168329.13
ENSG00000105509.10
ENSG00000282608.1
ENSG00000163421.8
ENSG00000106809.10
ENSG00000164530.13
ENSG00000162692.10
ENSG00000007062.11
ENSG00000255823.3
ENSG00000004939.13
ENSG00000170160.17
