"","Var1","Var2","value"
"1",0.9,"PC-corrected",5809
"2",0.902040816326531,"PC-corrected",5999
"3",0.904081632653061,"PC-corrected",6284
"4",0.906122448979592,"PC-corrected",6510
"5",0.908163265306122,"PC-corrected",6745
"6",0.910204081632653,"PC-corrected",6924
"7",0.912244897959184,"PC-corrected",7135
"8",0.914285714285714,"PC-corrected",7169
"9",0.916326530612245,"PC-corrected",7337
"10",0.918367346938776,"PC-corrected",7647
"11",0.920408163265306,"PC-corrected",7880
"12",0.922448979591837,"PC-corrected",8320
"13",0.924489795918367,"PC-corrected",8524
"14",0.926530612244898,"PC-corrected",8618
"15",0.928571428571429,"PC-corrected",8813
"16",0.930612244897959,"PC-corrected",8995
"17",0.93265306122449,"PC-corrected",9152
"18",0.93469387755102,"PC-corrected",9307
"19",0.936734693877551,"PC-corrected",9681
"20",0.938775510204082,"PC-corrected",9959
"21",0.940816326530612,"PC-corrected",10281
"22",0.942857142857143,"PC-corrected",10858
"23",0.944897959183673,"PC-corrected",11387
"24",0.946938775510204,"PC-corrected",11817
"25",0.948979591836735,"PC-corrected",12136
"26",0.951020408163265,"PC-corrected",12663
"27",0.953061224489796,"PC-corrected",13081
"28",0.955102040816327,"PC-corrected",13559
"29",0.957142857142857,"PC-corrected",14112
"30",0.959183673469388,"PC-corrected",14720
"31",0.961224489795918,"PC-corrected",15208
"32",0.963265306122449,"PC-corrected",15841
"33",0.96530612244898,"PC-corrected",16675
"34",0.96734693877551,"PC-corrected",17770
"35",0.969387755102041,"PC-corrected",18914
"36",0.971428571428571,"PC-corrected",19871
"37",0.973469387755102,"PC-corrected",20894
"38",0.975510204081633,"PC-corrected",22491
"39",0.977551020408163,"PC-corrected",23850
"40",0.979591836734694,"PC-corrected",25364
"41",0.981632653061224,"PC-corrected",27268
"42",0.983673469387755,"PC-corrected",32044
"43",0.985714285714286,"PC-corrected",33555
"44",0.987755102040816,"PC-corrected",39905
"45",0.989795918367347,"PC-corrected",42897
"46",0.991836734693878,"PC-corrected",47321
"47",0.993877551020408,"PC-corrected",57769
"48",0.995918367346939,"PC-corrected",62394
"49",0.997959183673469,"PC-corrected",60097
"50",1,"PC-corrected",66671
"51",0.9,"half-PC",15435
"52",0.902040816326531,"half-PC",15985
"53",0.904081632653061,"half-PC",16521
"54",0.906122448979592,"half-PC",17016
"55",0.908163265306122,"half-PC",17569
"56",0.910204081632653,"half-PC",17923
"57",0.912244897959184,"half-PC",18170
"58",0.914285714285714,"half-PC",18716
"59",0.916326530612245,"half-PC",19546
"60",0.918367346938776,"half-PC",20083
"61",0.920408163265306,"half-PC",20505
"62",0.922448979591837,"half-PC",21133
"63",0.924489795918367,"half-PC",21600
"64",0.926530612244898,"half-PC",22091
"65",0.928571428571429,"half-PC",23159
"66",0.930612244897959,"half-PC",24200
"67",0.93265306122449,"half-PC",25134
"68",0.93469387755102,"half-PC",27829
"69",0.936734693877551,"half-PC",28299
"70",0.938775510204082,"half-PC",29660
"71",0.940816326530612,"half-PC",30687
"72",0.942857142857143,"half-PC",31407
"73",0.944897959183673,"half-PC",32168
"74",0.946938775510204,"half-PC",33516
"75",0.948979591836735,"half-PC",35461
"76",0.951020408163265,"half-PC",37266
"77",0.953061224489796,"half-PC",38471
"78",0.955102040816327,"half-PC",40283
"79",0.957142857142857,"half-PC",41745
"80",0.959183673469388,"half-PC",44429
"81",0.961224489795918,"half-PC",46761
"82",0.963265306122449,"half-PC",48574
"83",0.96530612244898,"half-PC",51775
"84",0.96734693877551,"half-PC",54983
"85",0.969387755102041,"half-PC",57863
"86",0.971428571428571,"half-PC",60736
"87",0.973469387755102,"half-PC",68682
"88",0.975510204081633,"half-PC",72053
"89",0.977551020408163,"half-PC",81119
"90",0.979591836734694,"half-PC",89812
"91",0.981632653061224,"half-PC",98471
"92",0.983673469387755,"half-PC",108124
"93",0.985714285714286,"half-PC",112431
"94",0.987755102040816,"half-PC",112056
"95",0.989795918367347,"half-PC",125773
"96",0.991836734693878,"half-PC",137854
"97",0.993877551020408,"half-PC",145510
"98",0.995918367346939,"half-PC",147815
"99",0.997959183673469,"half-PC",156433
"100",1,"half-PC",156433
"101",0.9,"quarter-PC",18673
"102",0.902040816326531,"quarter-PC",19601
"103",0.904081632653061,"quarter-PC",20225
"104",0.906122448979592,"quarter-PC",21004
"105",0.908163265306122,"quarter-PC",21296
"106",0.910204081632653,"quarter-PC",22195
"107",0.912244897959184,"quarter-PC",22573
"108",0.914285714285714,"quarter-PC",23259
"109",0.916326530612245,"quarter-PC",23914
"110",0.918367346938776,"quarter-PC",24636
"111",0.920408163265306,"quarter-PC",25467
"112",0.922448979591837,"quarter-PC",25959
"113",0.924489795918367,"quarter-PC",26531
"114",0.926530612244898,"quarter-PC",27314
"115",0.928571428571429,"quarter-PC",28538
"116",0.930612244897959,"quarter-PC",32545
"117",0.93265306122449,"quarter-PC",34393
"118",0.93469387755102,"quarter-PC",34994
"119",0.936734693877551,"quarter-PC",35636
"120",0.938775510204082,"quarter-PC",36251
"121",0.940816326530612,"quarter-PC",37140
"122",0.942857142857143,"quarter-PC",39225
"123",0.944897959183673,"quarter-PC",40296
"124",0.946938775510204,"quarter-PC",42110
"125",0.948979591836735,"quarter-PC",43840
"126",0.951020408163265,"quarter-PC",46505
"127",0.953061224489796,"quarter-PC",50120
"128",0.955102040816327,"quarter-PC",52591
"129",0.957142857142857,"quarter-PC",59956
"130",0.959183673469388,"quarter-PC",61980
"131",0.961224489795918,"quarter-PC",70189
"132",0.963265306122449,"quarter-PC",71427
