"","Cutheights","type","precision","recall"
"1",0.9,"PC corrected",0.269271758436945,0.00111313439849624
"2",0.902040816326531,"PC corrected",0.267923258162235,0.00116893796992481
"3",0.904081632653061,"PC corrected",0.268092105263158,0.0011968397556391
"4",0.906122448979592,"PC corrected",0.26569435637286,0.00123061560150376
"5",0.908163265306122,"PC corrected",0.262235649546828,0.00127467105263158
"6",0.910204081632653,"PC corrected",0.25285062713797,0.00130257283834586
"7",0.912244897959184,"PC corrected",0.251119820828667,0.0013172579887218
"8",0.914285714285714,"PC corrected",0.247895737170785,0.00134075422932331
"9",0.916326530612245,"PC corrected",0.241732283464567,0.00135250234962406
"10",0.918367346938776,"PC corrected",0.242632113821138,0.00140243186090226
"11",0.920408163265306,"PC corrected",0.242364042711696,0.00143327067669173
"12",0.922448979591837,"PC corrected",0.23551577955723,0.00146851503759398
"13",0.924489795918367,"PC corrected",0.232371794871795,0.00149054276315789
"14",0.926530612244898,"PC corrected",0.238419039524012,0.00164767387218045
"15",0.928571428571429,"PC corrected",0.243980099502488,0.00180039943609023
"16",0.930612244897959,"PC corrected",0.242389431361287,0.00185914003759399
"17",0.93265306122449,"PC corrected",0.243356388787768,0.00196340460526316
"18",0.93469387755102,"PC corrected",0.243078530384816,0.0020500469924812
"19",0.936734693877551,"PC corrected",0.238911290322581,0.00208822838345865
"20",0.938775510204082,"PC corrected",0.228584950307619,0.00212787828947368
"21",0.940816326530612,"PC corrected",0.232958916756424,0.00222333176691729
"22",0.942857142857143,"PC corrected",0.22993396918562,0.00230116306390977
"23",0.944897959183673,"PC corrected",0.229719924539254,0.00232465930451128
"24",0.946938775510204,"PC corrected",0.230110497237569,0.00244654605263158
"25",0.948979591836735,"PC corrected",0.228235294117647,0.0025640272556391
"26",0.951020408163265,"PC corrected",0.226704615765376,0.00269031954887218
"27",0.953061224489796,"PC corrected",0.226350148367953,0.00280045817669173
"28",0.955102040816327,"PC corrected",0.22228474957794,0.00290031719924812
"29",0.957142857142857,"PC corrected",0.221316748874115,0.00303101503759398
"30",0.959183673469388,"PC corrected",0.222777430772434,0.00314262218045113
"31",0.961224489795918,"PC corrected",0.223810885520923,0.00344807330827068
"32",0.963265306122449,"PC corrected",0.220752339812815,0.00360226738721805
"33",0.96530612244898,"PC corrected",0.219040378442304,0.0038078594924812
"34",0.96734693877551,"PC corrected",0.213854694665701,0.00390331296992481
"35",0.969387755102041,"PC corrected",0.213806110901547,0.00416177161654135
"36",0.971428571428571,"PC corrected",0.210308099220816,0.0043203712406015
"37",0.973469387755102,"PC corrected",0.207159592437204,0.00558329417293233
"38",0.975510204081633,"PC corrected",0.200915308790988,0.00586671757518797
"39",0.977551020408163,"PC corrected",0.199437264533359,0.00614132988721804
"40",0.979591836734694,"PC corrected",0.199046321525886,0.00643650140977444
"41",0.981632653061224,"PC corrected",0.194236837734596,0.00686971334586466
"42",0.983673469387755,"PC corrected",0.180762744843689,0.00818550281954887
"43",0.985714285714286,"PC corrected",0.180795686930656,0.0085687852443609
"44",0.987755102040816,"PC corrected",0.174486763543172,0.0093984962406015
"45",0.989795918367347,"PC corrected",0.167647196152589,0.0105454064849624
"46",0.991836734693878,"PC corrected",0.164678258662267,0.0114323895676692
"47",0.993877551020408,"PC corrected",0.159691652297393,0.0115601503759399
"48",0.995918367346939,"PC corrected",0.154997030708224,0.0118817551691729
"49",0.997959183673469,"PC corrected",0.149683254536281,0.0117628054511278
"50",1,"PC corrected",0.148784242446724,0.0117804276315789
"51",0.9,"half-PC",0.179899954524784,0.0029047227443609
"52",0.902040816326531,"half-PC",0.175412555662272,0.00295024671052632
"53",0.904081632653061,"half-PC",0.178939303651996,0.00308681860902256
"54",0.906122448979592,"half-PC",0.176784687422985,0.00316024436090226
"55",0.908163265306122,"half-PC",0.178036072144289,0.00326157189849624
"56",0.910204081632653,"half-PC",0.175753788470551,0.00330415883458647
"57",0.912244897959184,"half-PC",0.170609107037256,0.00338933270676692
"58",0.914285714285714,"half-PC",0.169782935740383,0.00348038063909774
"59",0.916326530612245,"half-PC",0.166793707989744,0.00353471569548872
"60",0.918367346938776,"half-PC",0.162529864613751,0.00359639332706767
"61",0.920408163265306,"half-PC",0.156361620889272,0.00372855968045113
"62",0.922448979591837,"half-PC",0.155072292012325,0.00384310385338346
"63",0.924489795918367,"half-PC",0.154333685439484,0.0040765977443609
"64",0.926530612244898,"half-PC",0.157102695551513,0.00418526785714286
"65",0.928571428571429,"half-PC",0.157213349604712,0.00435121005639098
"66",0.930612244897959,"half-PC",0.156069065343259,0.00443344689849624
"67",0.93265306122449,"half-PC",0.155711582511702,0.00459204652255639
"68",0.93469387755102,"half-PC",0.154793863854267,0.00474183505639098
"69",0.936734693877551,"half-PC",0.15301432819681,0.00498707706766917
"70",0.938775510204082,"half-PC",0.152,0.00518973214285714
"71",0.940816326530612,"half-PC",0.149717285945073,0.0054437852443609
"72",0.942857142857143,"half-PC",0.152601473123335,0.00571986607142857
"73",0.944897959183673,"half-PC",0.148575076033492,0.0058109140037594
"74",0.946938775510204,"half-PC",0.146326389646272,0.00591077302631579
"75",0.948979591836735,"half-PC",0.14403005844698,0.0060796522556391
"76",0.951020408163265,"half-PC",0.14625422269325,0.00648496240601504
"77",0.953061224489796,"half-PC",0.142316566682049,0.00679335056390977
"78",0.955102040816327,"half-PC",0.142790248470836,0.00716488486842105
"79",0.957142857142857,"half-PC",0.142915766147785,0.00767152255639098
"80",0.959183673469388,"half-PC",0.14214418227901,0.00798872180451128
