"","Cutheights","type","precision","recall"
"1",0.9,"PC corrected",0.30496936691627,0.000657894736842105
"2",0.902040816326531,"PC corrected",0.311244979919679,0.000682859492481203
"3",0.904081632653061,"PC corrected",0.312956810631229,0.000691670582706767
"4",0.906122448979592,"PC corrected",0.314081765087605,0.000710761278195489
"5",0.908163265306122,"PC corrected",0.325814536340852,0.000763627819548872
"6",0.910204081632653,"PC corrected",0.328358208955224,0.000775375939849624
"7",0.912244897959184,"PC corrected",0.308275058275058,0.000776844454887218
"8",0.914285714285714,"PC corrected",0.300764192139738,0.000809151785714286
"9",0.916326530612245,"PC corrected",0.301023155627356,0.000820899906015038
"10",0.918367346938776,"PC corrected",0.301867219917012,0.000854675751879699
"11",0.920408163265306,"PC corrected",0.294558162755866,0.000866423872180451
"12",0.922448979591837,"PC corrected",0.298398835516739,0.000903136748120301
"13",0.924489795918367,"PC corrected",0.298507462686567,0.000910479323308271
"14",0.926530612244898,"PC corrected",0.288550323176362,0.000917821898496241
"15",0.928571428571429,"PC corrected",0.284955752212389,0.000945723684210526
"16",0.930612244897959,"PC corrected",0.280854775403402,0.000945723684210526
"17",0.93265306122449,"PC corrected",0.275566966195978,0.000945723684210526
"18",0.93469387755102,"PC corrected",0.271446332366349,0.00096187734962406
"19",0.936734693877551,"PC corrected",0.267172523961661,0.000982436560150376
"20",0.938775510204082,"PC corrected",0.243779300396682,0.000992716165413534
"21",0.940816326530612,"PC corrected",0.239352340725097,0.00099859022556391
"22",0.942857142857143,"PC corrected",0.234459459459459,0.00101914943609023
"23",0.944897959183673,"PC corrected",0.227682737169518,0.0010749530075188
"24",0.946938775510204,"PC corrected",0.229005360333532,0.00112928806390977
"25",0.948979591836735,"PC corrected",0.23117185228264,0.00116746945488722
"26",0.951020408163265,"PC corrected",0.229059829059829,0.00118068609022556
"27",0.953061224489796,"PC corrected",0.221339687582738,0.00122767857142857
"28",0.955102040816327,"PC corrected",0.222279927291613,0.00125704887218045
"29",0.957142857142857,"PC corrected",0.222389181066867,0.00130404135338346
"30",0.959183673469388,"PC corrected",0.220880681818182,0.00137012453007519
"31",0.961224489795918,"PC corrected",0.214492753623188,0.00141271146616541
"32",0.963265306122449,"PC corrected",0.217918706107682,0.00150375939849624
"33",0.96530612244898,"PC corrected",0.212212212212212,0.00155662593984962
"34",0.96734693877551,"PC corrected",0.205250596658711,0.00164179981203008
"35",0.969387755102041,"PC corrected",0.205415998574737,0.00169319783834586
"36",0.971428571428571,"PC corrected",0.204139542647304,0.00179599389097744
"37",0.973469387755102,"PC corrected",0.199174734169179,0.00184298637218045
"38",0.975510204081633,"PC corrected",0.195434055547477,0.00197368421052632
"39",0.977551020408163,"PC corrected",0.189711486118672,0.00204710996240602
"40",0.979591836734694,"PC corrected",0.172869565217391,0.00218955592105263
"41",0.981632653061224,"PC corrected",0.17320819112628,0.00238486842105263
"42",0.983673469387755,"PC corrected",0.172712933753943,0.00257283834586466
"43",0.985714285714286,"PC corrected",0.16732858748595,0.00327919407894737
"44",0.987755102040816,"PC corrected",0.166611657535151,0.00370653195488722
"45",0.989795918367347,"PC corrected",0.162320253473068,0.00391212406015038
"46",0.991836734693878,"PC corrected",0.156971279373368,0.00441435620300752
"47",0.993877551020408,"PC corrected",0.151770582463652,0.00499735667293233
"48",0.995918367346939,"PC corrected",0.150236406619385,0.00559944783834586
"49",0.997959183673469,"PC corrected",0.148369348825424,0.00601944313909774
"50",1,"PC corrected",0.151301414497643,0.00579622885338346
"51",0.9,"half-PC",0.134403584095576,0.00105733082706767
"52",0.902040816326531,"half-PC",0.132819501702814,0.00108816964285714
"53",0.904081632653061,"half-PC",0.140671187619544,0.00118802866541353
"54",0.906122448979592,"half-PC",0.140395337050177,0.0012203359962406
"55",0.908163265306122,"half-PC",0.145860077021823,0.00133488016917293
"56",0.910204081632653,"half-PC",0.143012930362985,0.00134809680451128
"57",0.912244897959184,"half-PC",0.138273836421148,0.00134809680451128
"58",0.914285714285714,"half-PC",0.136511216056671,0.00135837640977444
"59",0.916326530612245,"half-PC",0.135127272727273,0.00136425046992481
"60",0.918367346938776,"half-PC",0.135702294348069,0.00142445958646617
"61",0.920408163265306,"half-PC",0.134708737864078,0.00146704652255639
"62",0.922448979591837,"half-PC",0.13581684128832,0.00154194078947368
"63",0.924489795918367,"half-PC",0.132770815237623,0.00157131109022556
"64",0.926530612244898,"half-PC",0.13058100429085,0.00165354793233083
"65",0.928571428571429,"half-PC",0.127882366046563,0.00168585526315789
"66",0.930612244897959,"half-PC",0.126975594022148,0.0017343162593985
"67",0.93265306122449,"half-PC",0.12699564586357,0.00179893092105263
"68",0.93469387755102,"half-PC",0.126857484791064,0.00186795112781955
"69",0.936734693877551,"half-PC",0.128507295173962,0.00201773966165414
"70",0.938775510204082,"half-PC",0.127069834413247,0.00207354323308271
"71",0.940816326530612,"half-PC",0.13207869974337,0.00226738721804511
"72",0.942857142857143,"half-PC",0.131159780985565,0.00232172227443609
"73",0.944897959183673,"half-PC",0.128606887992554,0.00243479793233083
"74",0.946938775510204,"half-PC",0.13072698366816,0.00265654370300752
"75",0.948979591836735,"half-PC",0.135992011483492,0.00319989426691729
"76",0.951020408163265,"half-PC",0.12538962104227,0.00336730498120301
"77",0.953061224489796,"half-PC",0.122969960726038,0.00340254934210526
"78",0.955102040816327,"half-PC",0.12396310989747,0.00353324718045113
"79",0.957142857142857,"half-PC",0.121786934772919,0.00361107847744361
"80",0.959183673469388,"half-PC",0.118319157039482,0.00410596804511278
