"","Cutheights","type","precision","recall"
"1",0.9,"PC corrected",0.264144736842105,0.00117921757518797
"2",0.902040816326531,"PC corrected",0.268976377952756,0.00125411184210526
"3",0.904081632653061,"PC corrected",0.264378478664193,0.00125558035714286
"4",0.906122448979592,"PC corrected",0.267395928289274,0.00129229323308271
"5",0.908163265306122,"PC corrected",0.258515283842795,0.00130404135338346
"6",0.910204081632653,"PC corrected",0.255613126079447,0.00130404135338346
"7",0.912244897959184,"PC corrected",0.255011135857461,0.00134515977443609
"8",0.914285714285714,"PC corrected",0.257244395844724,0.00138187265037594
"9",0.916326530612245,"PC corrected",0.255484216158373,0.00140243186090226
"10",0.918367346938776,"PC corrected",0.251390996459282,0.00145970394736842
"11",0.920408163265306,"PC corrected",0.252139887503057,0.0015140390037594
"12",0.922448979591837,"PC corrected",0.251829124380458,0.00156690554511278
"13",0.924489795918367,"PC corrected",0.250428816466552,0.00171522556390977
"14",0.926530612244898,"PC corrected",0.241308793456033,0.0017328477443609
"15",0.928571428571429,"PC corrected",0.237984043588247,0.00179599389097744
"16",0.930612244897959,"PC corrected",0.237316483924921,0.00187529370300752
"17",0.93265306122449,"PC corrected",0.245031937544358,0.00202801926691729
"18",0.93469387755102,"PC corrected",0.236171639289306,0.00206913768796992
"19",0.936734693877551,"PC corrected",0.232478909798832,0.00210438204887218
"20",0.938775510204082,"PC corrected",0.219103477167993,0.00230410009398496
"21",0.940816326530612,"PC corrected",0.221235365361324,0.00241423872180451
"22",0.942857142857143,"PC corrected",0.21178731582319,0.00242745535714286
"23",0.944897959183673,"PC corrected",0.207317073170732,0.00247151080827068
"24",0.946938775510204,"PC corrected",0.205298800047523,0.00253759398496241
"25",0.948979591836735,"PC corrected",0.200695652173913,0.00254199953007519
"26",0.951020408163265,"PC corrected",0.193398770359185,0.00263304746240601
"27",0.953061224489796,"PC corrected",0.187327298713673,0.00288710056390977
"28",0.955102040816327,"PC corrected",0.185231764283148,0.0030280780075188
"29",0.957142857142857,"PC corrected",0.183882149046794,0.00311618890977444
"30",0.959183673469388,"PC corrected",0.187130768002555,0.0034421992481203
"31",0.961224489795918,"PC corrected",0.180199985816609,0.00373149671052632
"32",0.963265306122449,"PC corrected",0.177340579211667,0.00378583176691729
"33",0.96530612244898,"PC corrected",0.175328741390106,0.00411184210526316
"34",0.96734693877551,"PC corrected",0.175848338979022,0.0043453359962406
"35",0.969387755102041,"PC corrected",0.177421954757939,0.00484903665413534
"36",0.971428571428571,"PC corrected",0.175112669003505,0.00513539708646617
"37",0.973469387755102,"PC corrected",0.169907511842996,0.00553042763157895
"38",0.975510204081633,"PC corrected",0.159524768425292,0.00581678806390977
"39",0.977551020408163,"PC corrected",0.163213593680131,0.00643209586466165
"40",0.979591836734694,"PC corrected",0.16353310522417,0.00680803571428571
"41",0.981632653061224,"PC corrected",0.161807240932212,0.00714726268796992
"42",0.983673469387755,"PC corrected",0.158181874863609,0.00745124530075188
"43",0.985714285714286,"PC corrected",0.151704766672229,0.00801074953007519
"44",0.987755102040816,"PC corrected",0.15031414928374,0.00878318843984962
"45",0.989795918367347,"PC corrected",0.142638657730197,0.00931332236842105
"46",0.991836734693878,"PC corrected",0.139138499587799,0.00991394501879699
"47",0.993877551020408,"PC corrected",0.134328078429902,0.0105233787593985
"48",0.995918367346939,"PC corrected",0.131253839328373,0.0112958176691729
"49",0.997959183673469,"PC corrected",0.132559144072302,0.0117172814849624
"50",1,"PC corrected",0.13722251906543,0.012445664943609
"51",0.9,"half-PC",0.154166438393689,0.00413240131578947
"52",0.902040816326531,"half-PC",0.151885401306088,0.00423519736842105
"53",0.904081632653061,"half-PC",0.151579911463899,0.00437470629699248
"54",0.906122448979592,"half-PC",0.153308203551235,0.00453917998120301
"55",0.908163265306122,"half-PC",0.156761950516454,0.00479176456766917
"56",0.910204081632653,"half-PC",0.158828707779271,0.00503406954887218
"57",0.912244897959184,"half-PC",0.15724035995305,0.00531161889097744
"58",0.914285714285714,"half-PC",0.159257992819285,0.00547168703007519
"59",0.916326530612245,"half-PC",0.158717780331637,0.00567874765037594
"60",0.918367346938776,"half-PC",0.155830712266592,0.00574776785714286
"61",0.920408163265306,"half-PC",0.154146715188661,0.0059093045112782
"62",0.922448979591837,"half-PC",0.153587115666179,0.00616188909774436
"63",0.924489795918367,"half-PC",0.151409320210252,0.00630286654135338
"64",0.926530612244898,"half-PC",0.149905249509625,0.00662153430451128
"65",0.928571428571429,"half-PC",0.147239462115335,0.0066890859962406
"66",0.930612244897959,"half-PC",0.148535564853556,0.00698572603383459
"67",0.93265306122449,"half-PC",0.147591452372329,0.00718103853383459
"68",0.93469387755102,"half-PC",0.147105996229494,0.00767739661654135
"69",0.936734693877551,"half-PC",0.147775746496039,0.00783452772556391
"70",0.938775510204082,"half-PC",0.148947711000217,0.00806508458646617
"71",0.940816326530612,"half-PC",0.145129674306393,0.00848067434210526
"72",0.942857142857143,"half-PC",0.146957771875533,0.00885661419172932
"73",0.944897959183673,"half-PC",0.144971038622986,0.00907835996240602
"74",0.946938775510204,"half-PC",0.145843737231579,0.00943520911654135
"75",0.948979591836735,"half-PC",0.143184642413335,0.0098140859962406
"76",0.951020408163265,"half-PC",0.14031595969648,0.00993890977443609
"77",0.953061224489796,"half-PC",0.138077942475704,0.0103280662593985
"78",0.955102040816327,"half-PC",0.136617357183649,0.010890507518797
"79",0.957142857142857,"half-PC",0.13731799957797,0.0114676339285714
"80",0.959183673469388,"half-PC",0.13232175987278,0.0117304981203008
