"",".id","smatsscr","smcenter","smrin","smtspax","smtstptref","smnabtcht","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts","smrdlgth"
"1","Subcutaneous",0.00175571495068993,0.0210171505871595,0.0125846034723001,0.00252838922178888,0.00521359111689912,0.0168055344481969,0.019291692529475,0.00504124572267883,0.00925076911978373,0.0127181941932605,0.0191937121406018,0.0284864230045507,0.00136182720739642,0.0265416954960396,0.0108070891615146,0.00118321508956354,0.00985102290589157,0.00208910752243296,0.000899368362882291,0.0171842845991041,0.00190718418289082,0.0091554614712861,0.00196339798112011,0.00151458583301112,0.0063474041100211,0.0118075834226764,0.0357480563934032,0.00215281055937966,0.0123693738559834,0.012973511665786,-0.000289381943840317,0.0297068693606031,0.0201240989542691,0.0184537921266676,0.00824725470776577,0.0145854514487712,0.00225068841490017,0.00154946030470493,0.00208532478496837,0.000957747650436769,0.00176372822331283,0.00426993197476411,0.0051899903703112,0.00189539514961612,0.00905443812314555,0.00276505048003395,0.0187911817329658,0.012690159527148,0.0108070895727163,0.0135527408884263,NA
"2","Lung",0.0338424607005171,0.0362740475949429,0.0575816693883539,0.000770441719844417,0.00438631041163096,0.013720297919192,0.0157843596582816,0.00933765326727021,0.0098865327815929,0.00967398990514678,0.0161117309878682,0.0850527797416526,0.00269344273002892,0.0324417354811636,0.0075518698620648,0.0129493477695712,0.0267469944919591,0.00132494322902144,0.0105151771831679,0.00717682642753592,0.00824864182158846,0.00979848155137952,0.0031444670170121,0.00701521733569488,0.00684824703874154,0.00924269007487677,0.0402683922449828,0.00842820960674606,0.0105104954427238,0.0108081276731131,0.000638020604632472,0.0909219273554682,0.0145786592627571,0.0214714212660446,0.0114906825794964,0.0110183350661114,0.00813106117314799,0.00320376720388471,0.00836165753400175,0.00958322297128544,0.00867226302306734,0.0284785170864987,0.00345669889590372,0.00834732365804358,0.0127481524080469,0.00333152859861674,0.0161247774065675,0.0120805014409376,0.00755186891880788,0.0137745090735856,0.00133810850801741
"3","Thyroid",0.0206094011318642,0.0219587276921361,0.0152471538199007,0.000678972648265774,0.00388692729011875,0.0182707481434592,0.0247089099728144,0.00161424720416359,0.0128656898216981,0.0116477674403543,0.0251829411517128,0.0263203782321431,0.00502342500062591,0.0122930036807648,0.0115329474117905,0.0146472237814027,0.0116812437980087,0.0026367355716701,0.00481356731243987,0.0128107963568947,0.00557011725964784,0.012879480156771,0.00507255599258638,0.00565358508855929,0.0110169991897571,0.00716524604770574,0.0203033328206397,0.00649523362664195,0.0113116132080332,0.0108657309822463,0.00243490912332733,0.0269484110645589,0.0218546810707938,0.0266683738759869,0.0073810063247538,0.0162354709208788,0.00680210105036017,0.00190739720903244,0.00672797959577875,0.00555120027996836,0.00529103107563123,0.0106502575555451,0.00774615039248616,0.00540744950047212,0.00342895978214763,0.00590661736569464,0.0254602121513439,0.0153384554887754,0.0115329474137739,0.0152448677945034,NA
"4","Muscle",0.00275401802495623,0.0157159574033268,0.00650331468505883,0.00240433319378752,0.00915467175200191,0.0200839488377476,0.0194477580286876,0.0350035325059942,0.0134703201253871,0.0243113110614542,0.019527236810402,0.0670321442519658,0.00697379739685111,0.0582387470286843,0.0331456468323196,0.0186436411158662,0.0126681946214896,0.000689615573431168,0.00536494086137751,0.0529011860888937,0.00267011955340579,0.0133577025749879,0.00491696624784999,0.00230723540447464,0.00562225454177601,0.00408505350512645,0.0578188636186049,0.00325129200397101,0.0314984616750805,0.0347055842886821,0.000925098986616635,0.076767238539589,0.0287562106434811,0.0211429574740849,0.0128966007007181,0.0155312191973853,0.00402490021188706,0.00257470765024226,0.00368639799452541,0.00492687420459503,0.00292033901059863,0.00590772771919479,0.00786636309161581,0.00315371679035381,0.0102652242355999,0.00599590624586621,0.0194316846169827,0.0221432466652701,0.0331456446042685,0.0149460085581791,-3.53728120954244e-05
"5","Blood",NA,0.085877301658013,0.0601487536115504,NA,0.01323819386721,0.00619149029913746,0.0387965935720324,0.0497139564229025,0.0347096741722734,0.0205978112745661,0.0398247896787058,0.118831812283012,0.0234193288887775,0.17238717375986,0.151711057474271,0.047174789123961,0.0253402846471347,0.00591285749343307,0.0201464655951842,0.111008252341286,0.0287632545369167,0.0345584742621613,0.00542695954465022,0.010884480421302,0.0118893998116532,0.0430502900724589,0.190482268328025,0.031855084696834,0.0233527120451068,0.0321788337504106,0.00137139474094694,0.153044001862188,0.116501639501827,0.0659544693979955,0.0895538342886808,0.0225914067730597,0.0475089427106535,0.175827742683839,0.0502993890560031,0.0407139015686818,0.0476769070964171,0.0927008263180458,0.00738524849426725,0.0480714239600766,0.00610759482852563,0.00574108180658739,0.0398219773711158,0.0170111447499215,0.151711060198236,0.0498864658735314,-0.00069224797090528
